,Vsis,Vs,Is,T1,T2,T3,T5,T6,T7,IFPower
0,3.0,3.979797363281251,3.955078124999956,45.285,48.729,47.202,3.384,2.861,3.88,1.1e-07
1,3.1,4.177551269531251,7.910156250000022,45.285,48.729,47.201,3.389,2.861,3.882,3.6e-07
2,3.2,4.301147460937502,4.94384765625,45.282,48.727,47.201,3.389,2.834,3.874,3.87e-07
3,3.3000000000000003,4.498901367187499,5.932617187500044,45.282,48.729,47.2,3.385,2.864,3.884,3.87e-07
4,3.4000000000000004,4.6472167968750036,3.955078125000067,45.283,48.728,47.201,3.382,2.831,3.875,3.9e-07
5,3.5000000000000004,4.6966552734375,3.955078125000067,45.283,48.729,47.201,3.388,2.851,3.875,4.04e-07
6,3.6000000000000005,4.86968994140625,5.932617187500044,45.285,48.726,47.201,3.378,2.862,3.88,4.09e-07
7,3.7000000000000006,4.993286132812502,4.94384765625,45.284,48.729,47.203,3.386,2.862,3.883,4.05e-07
8,3.8000000000000007,5.092163085937501,5.932617187500044,45.283,48.729,47.202,3.386,2.834,3.875,4.01e-07
9,3.900000000000001,5.141601562500001,1.977539062499978,45.283,48.728,47.201,3.383,2.864,3.884,4.23e-07
10,4.000000000000001,5.265197753906247,4.94384765625,45.285,48.731,47.202,3.381,2.832,3.876,4.46e-07
11,4.100000000000001,5.487670898437503,10.876464843750046,45.284,48.727,47.202,3.387,2.852,3.881,4.52e-07
12,4.200000000000001,5.784301757812499,14.831542968750002,45.284,48.729,47.202,3.378,2.863,3.881,4.52e-07
13,4.300000000000001,5.883178710937501,12.854003906250021,45.285,48.727,47.202,3.386,2.863,3.884,4.61e-07
14,4.400000000000001,5.833740234375001,9.8876953125,45.283,48.727,47.202,3.384,2.835,3.875,4.83e-07
15,4.500000000000002,6.155090332031249,13.842773437499957,45.283,48.728,47.202,3.384,2.864,3.885,5.09e-07
16,4.600000000000001,6.155090332031252,7.910156250000022,45.283,48.727,47.201,3.381,2.832,3.876,5.22e-07
17,4.700000000000001,6.451721191406251,13.842773437499957,45.283,48.727,47.202,3.388,2.852,3.881,5.19e-07
18,4.800000000000002,6.451721191406251,14.831542968750002,45.284,48.729,47.203,3.379,2.865,3.881,5.11e-07
19,4.900000000000002,6.451721191406248,5.932617187499934,45.283,48.729,47.203,3.386,2.865,3.884,5.27e-07
20,5.000000000000002,6.79779052734375,15.820312500000044,45.283,48.729,47.201,3.385,2.835,3.876,5.41e-07
21,5.100000000000001,6.8719482421875,17.79785156250002,45.284,48.726,47.203,3.385,2.864,3.885,5.42e-07
22,5.200000000000002,7.020263671875002,15.820312499999932,45.284,48.728,47.203,3.382,2.833,3.877,5.11e-07
23,5.3000000000000025,7.094421386718753,11.865234375000089,45.285,48.728,47.201,3.388,2.852,3.881,5e-07
24,5.400000000000002,7.267456054687498,15.820312500000044,45.283,48.728,47.201,3.38,2.865,3.881,5.06e-07
25,5.500000000000002,7.440490722656248,14.831542968750002,45.282,48.726,47.201,3.387,2.835,3.885,5.06e-07
26,5.600000000000002,7.514648437499998,16.809082031250092,45.285,48.726,47.203,3.385,2.835,3.877,4.93e-07
27,5.700000000000003,7.786560058593753,15.820312499999932,45.284,48.726,47.205,3.385,2.864,3.886,4.86e-07
28,5.8000000000000025,7.835998535156249,16.80908203124998,45.284,48.729,47.203,3.383,2.833,3.878,4.92e-07
29,5.900000000000002,8.009033203125002,18.786621093750068,45.285,48.728,47.203,3.389,2.852,3.882,5.26e-07
30,6.000000000000003,8.058471679687502,16.809082031250092,45.284,48.727,47.203,3.381,2.866,3.882,5.3e-07
31,6.100000000000003,8.256225585937502,18.786621093750068,45.284,48.729,47.203,3.388,2.835,3.886,5.06e-07
32,6.200000000000003,8.379821777343748,17.797851562500135,45.285,48.729,47.203,3.387,2.835,3.877,4.6e-07
33,6.3000000000000025,8.577575683593752,24.71923828125,45.284,48.729,47.202,3.387,2.864,3.886,4.52e-07
34,6.400000000000003,8.52813720703125,17.79785156249991,45.284,48.729,47.203,3.385,2.834,3.878,4.59e-07
35,6.5000000000000036,8.627014160156252,18.786621093750068,45.283,48.729,47.203,3.391,2.852,3.883,4.68e-07
36,6.600000000000003,8.997802734374998,27.685546874999915,45.283,48.728,47.203,3.382,2.868,3.883,4.54e-07
37,6.700000000000003,9.12139892578125,29.663085937500004,45.284,48.726,47.203,3.39,2.835,3.886,4.55e-07
38,6.800000000000003,9.22027587890625,28.674316406250068,45.283,48.728,47.203,3.388,2.835,3.878,4.62e-07
39,6.900000000000004,9.220275878906248,26.69677734374987,45.285,48.728,47.203,3.386,2.864,3.887,4.8e-07
40,7.0000000000000036,9.393310546875,28.674316406249954,45.285,48.729,47.204,3.386,2.835,3.878,4.95e-07
41,7.100000000000003,9.640502929687498,33.61816406249996,45.283,48.729,47.203,3.393,2.851,3.883,5.17e-07
42,7.200000000000004,9.7393798828125,32.629394531249915,45.283,48.726,47.203,3.384,2.868,3.886,5.38e-07
43,7.300000000000004,9.912414550781252,34.60693359375,45.284,48.729,47.203,3.392,2.835,3.886,5.74e-07
44,7.400000000000004,9.9371337890625,27.685546875000025,45.284,48.728,47.203,3.39,2.835,3.878,6.04e-07
45,7.5000000000000036,9.9371337890625,27.685546875000025,45.283,48.728,47.203,3.388,2.865,3.887,6.32e-07
46,7.600000000000004,10.258483886718752,37.57324218750002,45.285,48.729,47.204,3.388,2.835,3.879,6.43e-07
47,7.700000000000005,10.406799316406252,39.55078125,45.285,48.729,47.204,3.394,2.852,3.884,6.64e-07
