,Vsis,Vs,Is,T1,T2,T3,T5,T6,T7,IFPower
0,3.0,4.004516601562503,3.955078125000067,45.283,48.727,47.206,3.43,2.855,3.897,3.88e-07
1,3.1,4.07867431640625,0.0,45.282,48.726,47.208,3.408,2.874,3.924,3.94e-07
2,3.2,4.350585937499998,6.921386718749979,45.284,48.726,47.208,3.409,2.839,3.91,3.77e-07
3,3.3000000000000003,4.449462890625,2.966308593750022,45.282,48.726,47.208,3.403,2.868,3.91,3.66e-07
4,3.4000000000000004,4.622497558593753,12.854003906250021,45.283,48.726,47.208,3.397,2.868,3.913,3.7e-07
5,3.5000000000000004,4.820251464843749,7.910156250000022,45.284,48.726,47.207,3.401,2.841,3.901,3.7e-07
6,3.6000000000000005,4.919128417968749,8.898925781249956,45.284,48.726,47.207,3.401,2.855,3.902,3.79e-07
7,3.7000000000000006,5.06744384765625,12.854003906250021,45.285,48.726,47.208,3.39,2.875,3.903,3.67e-07
8,3.8000000000000007,5.166320800781252,11.865234374999979,45.285,48.727,47.207,3.396,2.839,3.892,3.71e-07
9,3.900000000000001,5.364074707031252,10.876464843750046,45.283,48.726,47.21,3.395,2.868,3.892,3.82e-07
10,4.000000000000001,5.364074707031249,8.898925781250068,45.283,48.727,47.21,3.39,2.868,3.9,4.06e-07
11,4.100000000000001,5.339355468750001,0.9887695312500444,45.284,48.727,47.207,3.397,2.841,3.89,4.1e-07
12,4.200000000000001,5.710144042968748,10.876464843750046,45.283,48.725,47.207,3.397,2.854,3.893,4.11e-07
13,4.300000000000001,5.858459472656253,13.842773437499957,45.283,48.728,47.207,3.387,2.875,3.896,4.17e-07
14,4.400000000000001,5.759582519531248,2.966308593750022,45.286,48.726,47.207,3.394,2.84,3.885,4.47e-07
15,4.500000000000002,6.1303710937500036,9.8876953125,45.284,48.728,47.208,3.394,2.869,3.885,4.65e-07
16,4.600000000000001,6.204528808593751,10.876464843750046,45.285,48.726,47.208,3.39,2.869,3.894,4.84e-07
17,4.700000000000001,6.451721191406251,16.80908203124998,45.284,48.726,47.208,3.396,2.84,3.886,4.74e-07
18,4.800000000000002,6.525878906249999,15.820312500000044,45.285,48.727,47.207,3.396,2.856,3.889,4.49e-07
19,4.900000000000002,6.698913574218751,14.831542968750002,45.285,48.727,47.207,3.387,2.873,3.892,4.44e-07
20,5.000000000000002,6.822509765625001,14.831542968750002,45.284,48.727,47.208,3.394,2.839,3.882,4.57e-07
21,5.100000000000001,6.8719482421875,14.831542968750002,45.284,48.726,47.208,3.394,2.869,3.882,4.42e-07
22,5.200000000000002,6.995544433593753,11.865234375000089,45.285,48.726,47.208,3.39,2.84,3.891,4.32e-07
23,5.3000000000000025,7.04498291015625,11.865234374999869,45.283,48.726,47.208,3.397,2.84,3.883,4.24e-07
24,5.400000000000002,7.366333007812498,16.80908203124998,45.284,48.727,47.207,3.397,2.856,3.886,4.36e-07
25,5.500000000000002,7.415771484375003,16.80908203124998,45.284,48.727,47.209,3.388,2.874,3.89,4.35e-07
26,5.600000000000002,7.588806152343749,17.79785156250002,45.283,48.726,47.208,3.395,2.839,3.88,4.22e-07
27,5.700000000000003,7.5888061523437464,16.80908203124987,45.284,48.726,47.208,3.395,2.869,3.88,4.13e-07
28,5.8000000000000025,7.811279296874998,16.80908203124998,45.286,48.728,47.208,3.391,2.84,3.89,4.34e-07
29,5.900000000000002,8.058471679687502,22.74169921874991,45.283,48.727,47.208,3.397,2.84,3.882,4.73e-07
30,6.000000000000003,8.08319091796875,20.764160156249932,45.285,48.727,47.21,3.397,2.855,3.885,4.86e-07
31,6.100000000000003,8.1573486328125,17.797851562500135,45.285,48.727,47.21,3.389,2.875,3.889,4.5e-07
32,6.200000000000003,8.206787109374998,13.842773437500068,45.283,48.726,47.208,3.396,2.839,3.879,3.97e-07
33,6.3000000000000025,8.503417968750002,20.764160156249932,45.285,48.728,47.209,3.396,2.868,3.879,3.8e-07
34,6.400000000000003,8.602294921875004,18.786621093749957,45.284,48.727,47.209,3.391,2.841,3.888,3.87e-07
35,6.5000000000000036,8.800048828125,24.71923828125,45.284,48.729,47.21,3.399,2.841,3.881,3.89e-07
36,6.600000000000003,8.898925781250002,24.719238281250114,45.283,48.729,47.21,3.39,2.855,3.884,3.82e-07
37,6.700000000000003,9.07196044921875,28.674316406250068,45.283,48.726,47.209,3.39,2.875,3.887,3.77e-07
38,6.800000000000003,8.973083496093746,18.786621093749957,45.283,48.728,47.21,3.397,2.839,3.878,3.82e-07
39,6.900000000000004,9.343872070312498,30.651855468750046,45.284,48.727,47.211,3.397,2.868,3.887,3.89e-07
40,7.0000000000000036,9.492187499999998,34.60693359375,45.283,48.727,47.21,3.393,2.841,3.887,3.99e-07
41,7.100000000000003,9.51690673828125,27.685546875000135,45.284,48.729,47.21,3.4,2.841,3.879,4.07e-07
42,7.200000000000004,9.76409912109375,35.59570312500004,45.284,48.729,47.208,3.392,2.854,3.883,4.21e-07
43,7.300000000000004,9.912414550781252,35.59570312500004,45.282,48.727,47.21,3.392,2.876,3.887,4.38e-07
44,7.400000000000004,9.788818359375002,29.663085937500004,45.282,48.727,47.211,3.399,2.839,3.877,4.63e-07
45,7.5000000000000036,10.134887695312502,34.606933593750114,45.285,48.727,47.21,3.398,2.868,3.887,4.73e-07
46,7.600000000000004,10.2337646484375,34.606933593750114,45.283,48.727,47.211,3.395,2.842,3.887,4.76e-07
47,7.700000000000005,10.357360839843752,35.595703124999936,45.283,48.727,47.211,3.402,2.854,3.879,4.82e-07
48,7.800000000000004,10.406799316406248,31.64062499999998,45.283,48.728,47.211,3.393,2.854,3.882,4.89e-07
49,7.900000000000004,10.703430175781246,43.50585937499996,45.285,48.728,47.211,3.393,2.876,3.886,4.95e-07
50,8.000000000000004,10.876464843749998,38.56201171874996,45.285,48.728,47.211,3.401,2.839,3.876,4.98e-07
51,8.100000000000005,10.9259033203125,37.57324218750002,45.285,48.726,47.21,3.4,2.868,3.886,4.98e-07
52,8.200000000000005,11.148376464843752,42.517089843749915,45.285,48.728,47.213,3.396,2.842,3.886,4.96e-07
53,8.300000000000004,11.1236572265625,36.58447265625009,45.285,48.728,47.213,3.403,2.856,3.878,4.92e-07
54,8.400000000000006,11.27197265625,39.55078125,45.285,48.727,47.211,3.395,2.856,3.881,4.86e-07
55,8.500000000000005,11.494445800781248,39.55078125,45.282,48.727,47.211,3.402,2.875,3.885,4.75e-07
56,8.600000000000005,11.5191650390625,40.53955078125005,45.282,48.726,47.209,3.402,2.839,3.875,4.62e-07
57,8.700000000000005,11.74163818359375,41.52832031250009,45.284,48.726,47.211,3.402,2.869,3.885,4.47e-07
58,8.800000000000004,11.766357421875002,43.50585937499996,45.284,48.728,47.21,3.398,2.841,3.878,4.29e-07
59,8.900000000000006,12.038269042968752,47.460937499999915,45.284,48.725,47.21,3.406,2.856,3.878,4.12e-07
60,9.000000000000005,12.186584472656248,49.4384765625,45.283,48.728,47.21,3.397,2.856,3.88,3.96e-07
61,9.100000000000005,12.359619140625,52.404785156249915,45.285,48.728,47.211,3.404,2.875,3.885,3.84e-07
62,9.200000000000006,12.384338378906248,55.371093749999936,45.285,48.728,47.21,3.404,2.84,3.875,3.75e-07
63,9.300000000000006,12.582092285156248,59.32617187500001,45.285,48.727,47.211,3.405,2.869,3.884,3.72e-07
